time,event
2026-03-02T12:01:09.630756,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:01:09.910199,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:01:11.097007,candidate selected op=points start=0
 duration_ms=1185
2026-03-02T12:01:11.099712,poll ok #75 duration_ms=3278 degraded=0 timeout_streak=0
2026-03-02T12:01:12.824717,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:01:14.630602,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:01:14.894047,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:01:16.099499,poll ok #76 duration_ms=3275 degraded=0 timeout_streak=0
2026-03-02T12:01:17.811730,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:01:19.056743,recv ok op=points@0 regs=72 attempt=1 duration_ms=1245
2026-03-02T12:01:19.058940,poll ok #77 duration_ms=1247 degraded=0 timeout_streak=0
2026-03-02T12:01:22.818100,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:01:23.332354,recv ok op=points@0 regs=72 attempt=1 duration_ms=514
2026-03-02T12:01:23.332972,candidate selected op=points start=0
0 timeout_streak=0
2026-03-02T12:01:27.824160,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:01:29.632925,timeout op=points@0 start=0 count=72 attempt=1/2 streak=1 degraded=0
2026-03-02T12:01:29.632925,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:01:29.898249,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:01:31.118124,poll ok #79 duration_ms=3293 degraded=0 timeout_streak=0
2026-03-02T12:01:32.812774,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:01:34.620772,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:01:34.886351,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:01:36.131887,candidate selected op=points start=0
 duration_ms=1245
2026-03-02T12:01:36.136204,poll ok #80 duration_ms=3323 degraded=0 timeout_streak=0
2026-03-02T12:01:37.817083,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:01:39.628950,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:01:39.881284,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:01:41.128260,poll ok #81 duration_ms=3311 degraded=0 timeout_streak=0
2026-03-02T12:01:42.813085,poll start #82
0 start=0 count=72 attempt=1/2
2026-03-02T12:01:43.329189,candidate selected op=points start=0
0 timeout_streak=0
2026-03-02T12:01:47.814376,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:01:48.330312,candidate selected op=points start=0
 duration_ms=514
2026-03-02T12:01:48.333661,poll ok #83 duration_ms=518 degraded=0 timeout_streak=0
2026-03-02T12:01:52.824765,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:01:54.635566,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:01:54.889948,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:01:56.137422,poll ok #84 duration_ms=3312 degraded=0 timeout_streak=0
2026-03-02T12:01:57.818906,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:01:59.626701,timeout op=points@0 start=0 count=72 attempt=1/2 streak=1 degraded=0
2026-03-02T12:01:59.626701,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:01:59.893983,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:02:01.137613,recv ok op=points@0 regs=72 attempt=2 duration_ms=1244
2026-03-02T12:02:01.137613,candidate selected op=points start=0
=0 timeout_streak=0
2026-03-02T12:02:02.820624,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:02:04.624976,timeout op=points@0 start=0 count=72 attempt=1/2 streak=1 degraded=0
2026-03-02T12:02:04.624976,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:02:04.891747,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:02:06.143127,poll ok #86 duration_ms=3322 degraded=0 timeout_streak=0
2026-03-02T12:02:07.810637,poll start #87
2026-03-02T12:02:07.810637,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:02:09.619700,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:02:09.883920,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:02:11.148609,recv ok op=points@0 regs=72 attempt=2 duration_ms=1264
2026-03-02T12:02:11.151825,poll ok #87 duration_ms=3341 degraded=0 timeout_streak=0
2026-03-02T12:02:12.818339,poll start #88
0 start=0 count=72 attempt=1/2
2026-03-02T12:02:14.626167,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:02:14.890492,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:02:16.153110,poll ok #88 duration_ms=3334 degraded=0 timeout_streak=0
2026-03-02T12:02:17.810295,poll start #89
2026-03-02T12:02:17.810805,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:02:19.619123,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:02:19.883614,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:02:21.156644,candidate selected op=points start=0
 duration_ms=1273
2026-03-02T12:02:21.161073,poll ok #89 duration_ms=3350 degraded=0 timeout_streak=0
2026-03-02T12:02:22.824945,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:02:24.631611,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:02:24.894577,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:02:26.157852,poll ok #90 duration_ms=3333 degraded=0 timeout_streak=0
2026-03-02T12:02:27.824604,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:02:29.118138,poll ok #91 duration_ms=1294 degraded=0 timeout_streak=0
2026-03-02T12:02:32.817896,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:02:33.331070,candidate selected op=points start=0
 duration_ms=513
2026-03-02T12:02:33.335178,poll ok #92 duration_ms=517 degraded=0 timeout_streak=0
2026-03-02T12:02:37.814525,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:02:39.629217,timeout op=points@0 start=0 count=72 attempt=1/2 streak=1 degraded=0
tion: response timeout (1 consecutive)
2026-03-02T12:02:39.891235,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:02:41.180515,recv ok op=points@0 regs=72 attempt=2 duration_ms=1289
2026-03-02T12:02:41.181068,poll ok #93 duration_ms=3366 degraded=0 timeout_streak=0
2026-03-02T12:02:42.816931,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:02:44.634291,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:02:44.898034,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:02:46.161660,candidate selected op=points start=0
 duration_ms=1262
2026-03-02T12:02:46.166384,poll ok #94 duration_ms=3350 degraded=0 timeout_streak=0
2026-03-02T12:02:47.824635,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:02:49.628983,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:02:49.894579,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:02:51.193088,poll ok #95 duration_ms=3368 degraded=0 timeout_streak=0
2026-03-02T12:02:52.825883,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:02:54.635115,timeout op=points@0 start=0 count=72 attempt=1/2 streak=1 degraded=0
tion: response timeout (1 consecutive)
2026-03-02T12:02:54.901123,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:02:56.192688,candidate selected op=points start=0
 duration_ms=1292
2026-03-02T12:02:56.196545,poll ok #96 duration_ms=3371 degraded=0 timeout_streak=0
2026-03-02T12:02:57.818943,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:02:59.636131,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:02:59.900710,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:03:01.181948,candidate selected op=points start=0
 duration_ms=1280
2026-03-02T12:03:01.181948,poll ok #97 duration_ms=3364 degraded=0 timeout_streak=0
2026-03-02T12:03:02.820857,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:03:04.631079,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:03:04.893131,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:03:06.193093,poll ok #98 duration_ms=3373 degraded=0 timeout_streak=0
2026-03-02T12:03:07.825847,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:03:09.634239,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:03:09.898529,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:03:11.208655,recv ok op=points@0 regs=72 attempt=2 duration_ms=1309
2026-03-02T12:03:11.212765,poll ok #99 duration_ms=3386 degraded=0 timeout_streak=0
2026-03-02T12:03:12.815258,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:03:14.143962,poll ok #100 duration_ms=1329 degraded=0 timeout_streak=0
2026-03-02T12:03:17.819767,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:03:18.333110,candidate selected op=points start=0
=0 timeout_streak=0
2026-03-02T12:03:22.819342,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:03:24.634026,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:03:24.898302,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:03:26.192571,candidate selected op=points start=0
 duration_ms=1294
2026-03-02T12:03:26.196287,poll ok #102 duration_ms=3377 degraded=0 timeout_streak=0
2026-03-02T12:03:27.812202,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:03:29.622236,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:03:29.873666,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:03:31.210104,poll ok #103 duration_ms=3398 degraded=0 timeout_streak=0
2026-03-02T12:03:32.812826,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:03:34.625736,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:03:34.904279,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:03:36.219412,recv ok op=points@0 regs=72 attempt=2 duration_ms=1315
2026-03-02T12:03:36.221923,poll ok #104 duration_ms=3409 degraded=0 timeout_streak=0
2026-03-02T12:03:37.817605,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:03:39.623313,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:03:39.886951,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:03:41.211655,candidate selected op=points start=0
 duration_ms=1323
2026-03-02T12:03:41.211655,poll ok #105 duration_ms=3394 degraded=0 timeout_streak=0
2026-03-02T12:03:42.815294,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:03:44.622448,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:03:44.887281,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:03:46.210685,poll ok #106 duration_ms=3395 degraded=0 timeout_streak=0
2026-03-02T12:03:47.818494,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:03:49.630279,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:03:49.892609,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:03:51.196842,candidate selected op=points start=0
 duration_ms=1304
2026-03-02T12:03:51.197847,poll ok #107 duration_ms=3379 degraded=0 timeout_streak=0
2026-03-02T12:03:52.813331,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:03:54.628117,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:03:54.888825,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:03:56.202328,poll ok #108 duration_ms=3390 degraded=0 timeout_streak=0
2026-03-02T12:03:57.817299,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:03:59.161170,poll ok #109 duration_ms=1344 degraded=0 timeout_streak=0
2026-03-02T12:04:02.810725,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:04:03.328914,recv ok op=points@0 regs=72 attempt=1 duration_ms=518
2026-03-02T12:04:03.330804,poll ok #110 duration_ms=520 degraded=0 timeout_streak=0
2026-03-02T12:04:07.810514,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:04:09.614263,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:04:09.864678,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:04:11.201189,poll ok #111 duration_ms=3391 degraded=0 timeout_streak=0
2026-03-02T12:04:12.811050,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:04:14.613454,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:04:14.866019,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:04:16.196511,candidate selected op=points start=0
 duration_ms=1330
2026-03-02T12:04:16.200235,poll ok #112 duration_ms=3389 degraded=0 timeout_streak=0
2026-03-02T12:04:17.810350,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:04:19.613389,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:04:19.866018,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:04:21.182173,candidate selected op=points start=0
 duration_ms=1315
=0
2026-03-02T12:04:22.810680,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:04:24.624614,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:04:24.885315,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:04:26.201701,candidate selected op=points start=0
 duration_ms=1315
2026-03-02T12:04:26.206073,poll ok #114 duration_ms=3395 degraded=0 timeout_streak=0
2026-03-02T12:04:27.818290,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:04:29.619745,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:04:29.882715,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:04:31.209698,poll ok #115 duration_ms=3391 degraded=0 timeout_streak=0
2026-03-02T12:04:32.817672,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:04:34.624892,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:04:34.889647,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:04:36.200794,recv ok op=points@0 regs=72 attempt=2 duration_ms=1311
2026-03-02T12:04:36.205791,poll ok #116 duration_ms=3389 degraded=0 timeout_streak=0
2026-03-02T12:04:37.814352,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:04:39.628187,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:04:39.895857,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:04:41.205828,candidate selected op=points start=0
 duration_ms=1309
2026-03-02T12:04:41.206404,poll ok #117 duration_ms=3392 degraded=0 timeout_streak=0
2026-03-02T12:04:42.811531,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:04:44.148388,poll ok #118 duration_ms=1336 degraded=0 timeout_streak=0
2026-03-02T12:04:47.816301,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:04:48.326625,recv ok op=points@0 regs=72 attempt=1 duration_ms=510
2026-03-02T12:04:48.331022,poll ok #119 duration_ms=514 degraded=0 timeout_streak=0
2026-03-02T12:04:52.817976,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:04:54.621704,timeout op=points@0 start=0 count=72 attempt=1/2 streak=1 degraded=0
tion: response timeout (1 consecutive)
2026-03-02T12:04:54.884860,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:04:56.206154,candidate selected op=points start=0
 duration_ms=1321
2026-03-02T12:04:56.207166,poll ok #120 duration_ms=3389 degraded=0 timeout_streak=0
2026-03-02T12:04:57.811241,poll start #121
2026-03-02T12:04:57.811241,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:04:59.618402,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:04:59.884912,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:05:01.195479,recv ok op=points@0 regs=72 attempt=2 duration_ms=1310
2026-03-02T12:05:01.201652,poll ok #121 duration_ms=3389 degraded=0 timeout_streak=0
2026-03-02T12:05:02.814962,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:05:04.630047,timeout op=points@0 start=0 count=72 attempt=1/2 streak=1 degraded=0
tion: response timeout (1 consecutive)
2026-03-02T12:05:04.895774,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:05:06.203358,candidate selected op=points start=0
 duration_ms=1306
2026-03-02T12:05:06.203358,poll ok #122 duration_ms=3388 degraded=0 timeout_streak=0
2026-03-02T12:05:07.817271,poll start #123
2026-03-02T12:05:07.817271,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T12:05:09.631761,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T12:05:09.896252,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T12:05:11.205760,candidate selected op=points start=0
